ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR;DATA_MEDICAO;DEDOMAIOR;PESO_ANTERIOR;GANHO_PESO
88;Fêmea;101.0;1075.0;2.9;12.9;16.5;15.0;9.5;40.0;37.0;35.0;12.0;12.5;9.5;;13-09-2024;7.5;995.0;80.0
89;Fêmea;101.0;1390.0;2.5;12.9;23.0;15.1;7.3;45.0;47.0;33.9;9.5;10.5;7.3;;13-09-2024;6.6;1290.0;100.0
90;Fêmea;101.0;1360.0;2.3;12.6;20.0;15.0;7.5;47.0;48.0;34.2;11.0;11.2;7.0;;13-09-2024;6.5;1290.0;70.0
92;Macho;101.0;1080.0;2.7;13.8;20.2;16.1;7.0;42.7;42.1;35.0;12.7;12.2;9.6;;13-09-2024;8.7;970.0;110.0
93;Macho;101.0;1310.0;2.9;13.7;20.2;14.6;5.1;42.1;48.2;33.4;10.9;12.5;8.1;;13-09-2024;7.4;1210.0;100.0
95;Fêmea;101.0;860.0;2.4;11.9;20.3;14.8;9.4;44.0;45.0;34.0;10.0;10.5;7.5;;13-09-2024;7.3;715.0;145.0
96;Fêmea;101.0;1205.0;2.7;13.0;23.3;17.5;7.6;43.4;43.4;34.0;13.1;10.6;7.9;;13-09-2024;8.2;1100.0;105.0
97;Fêmea;101.0;1055.0;3.0;12.3;16.0;15.0;6.0;45.0;42.0;35.0;11.0;12.0;8.0;;13-09-2024;5.5;955.0;100.0
98;Macho;101.0;1020.0;2.7;14.0;16.0;13.5;8.5;43.5;37.0;33.5;12.5;13.0;11.0;;13-09-2024;8.5;935.0;85.0
99;Macho;101.0;1455.0;2.5;12.5;16.0;13.0;9.0;43.0;39.0;35.8;11.5;10.0;7.5;;13-09-2024;6.5;1320.0;135.0
100;Fêmea;101.0;1245.0;2.1;13.0;18.0;16.0;9.0;40.0;41.0;35.0;12.0;12.0;8.5;;13-09-2024;7.0;1115.0;130.0
102;Macho;101.0;1325.0;2.5;11.5;16.0;15.0;6.0;37.0;36.0;33.0;10.0;11.0;8.0;;13-09-2024;5.0;1215.0;110.0
108;Fêmea;101.0;980.0;2.1;12.5;16.5;15.5;7.0;41.5;39.8;36.0;10.5;12.8;8.0;;13-09-2024;7.5;865.0;115.0
111;Macho;101.0;1375.0;2.7;14.5;17.5;14.5;7.2;44.0;40.0;39.5;12.5;13.0;8.0;;13-09-2024;6.0;1095.0;280.0
114;Macho;101.0;1350.0;2.0;13.0;15.0;16.0;6.0;46.0;41.0;39.0;11.0;11.0;9.0;;13-09-2024;5.0;1265.0;85.0
115;Fêmea;101.0;1335.0;2.7;13.0;17.0;14.0;10.0;36.0;35.0;35.0;12.0;12.5;9.0;;13-09-2024;7.0;1150.0;185.0
116;Macho;101.0;1325.0;3.0;13.0;18.0;16.0;8.0;44.0;44.0;42.0;12.0;12.0;8.0;;13-09-2024;7.0;1225.0;100.0
118;Fêmea;101.0;1240.0;3.0;13.0;19.0;17.0;9.0;49.0;49.0;8.0;12.0;13.5;8.0;;13-09-2024;7.0;1185.0;55.0
119;Fêmea;101.0;1105.0;2.5;12.7;16.0;13.5;6.5;42.2;42.7;32.0;11.7;13.5;6.8;;13-09-2024;6.9;1005.0;100.0
120;Macho;101.0;1045.0;3.0;13.7;17.5;14.5;7.0;46.0;36.0;35.0;11.0;13.0;8.0;;13-09-2024;5.5;935.0;110.0
130;Fêmea;101.0;895.0;3.0;12.0;16.0;15.5;6.0;38.0;35.0;37.0;11.0;12.0;9.0;;13-09-2024;5.5;1210.0;-315.0
135;Macho;101.0;1250.0;2.5;14.0;19.0;15.0;7.0;43.0;36.0;39.0;12.0;14.0;8.0;;13-09-2024;7.0;975.0;275.0
137;Fêmea;101.0;1450.0;2.5;12.0;17.0;14.5;7.0;42.0;39.0;33.0;10.5;10.0;8.0;;13-09-2024;5.0;1385.0;65.0
139;Fêmea;101.0;1505.0;2.5;13.0;17.0;14.0;6.5;43.0;39.0;37.0;11.0;10.5;8.5;;13-09-2024;5.0;1215.0;290.0
141;Macho;101.0;1435.0;2.5;13.2;16.5;15.1;7.0;43.5;42.2;33.5;7.5;14.8;8.0;;13-09-2024;8.1;1190.0;245.0
142;Macho;101.0;1045.0;2.5;13.0;21.0;17.5;8.0;52.0;44.0;37.5;11.5;12.0;8.5;;13-09-2024;9.0;1350.0;-305.0
145;Macho;101.0;1255.0;2.3;13.4;19.9;15.9;5.9;41.1;36.1;35.0;8.1;10.9;9.5;;13-09-2024;7.5;1120.0;135.0
147;Fêmea;101.0;1560.0;2.5;13.0;17.0;16.0;6.0;46.0;44.0;40.0;10.0;14.0;8.0;;13-09-2024;5.0;1435.0;125.0
150;Macho;101.0;1005.0;2.5;13.5;15.0;16.5;7.5;44.0;41.0;37.0;12.5;13.0;9.0;;13-09-2024;8.0;885.0;120.0
151;Macho;101.0;1370.0;2.8;14.3;23.4;15.3;5.9;49.2;46.7;32.7;11.6;12.0;9.1;;13-09-2024;7.9;1230.0;140.0
153;Fêmea;101.0;1455.0;2.8;13.0;17.0;16.0;7.0;43.0;38.0;37.0;12.0;11.5;8.0;;13-09-2024;6.0;1335.0;120.0
154;Fêmea;101.0;1325.0;2.0;13.0;18.0;14.5;6.0;43.0;35.0;38.0;10.0;13.0;9.0;;13-09-2024;6.0;1220.0;105.0
156;Fêmea;101.0;1310.0;2.5;13.0;17.0;16.5;6.0;44.0;44.0;36.0;11.0;12.0;8.0;;13-09-2024;5.0;1140.0;170.0
157;Macho;101.0;1280.0;2.5;12.5;22.1;16.2;8.3;49.5;41.8;32.7;12.4;12.7;8.8;;13-09-2024;8.5;1135.0;145.0
160;Macho;101.0;1325.0;2.5;14.0;19.5;17.5;7.5;46.0;36.0;36.0;12.0;14.0;9.0;;13-09-2024;5.0;1250.0;75.0
162;Macho;101.0;1280.0;3.0;14.0;19.0;17.0;6.0;45.0;37.0;33.5;11.0;13.0;8.0;;13-09-2024;6.0;1190.0;90.0
163;Fêmea;101.0;1455.0;2.5;12.6;21.5;14.5;6.1;47.3;43.5;33.6;11.1;11.4;7.7;;13-09-2024;7.6;1385.0;70.0
164;Macho;101.0;1255.0;2.2;12.9;20.3;15.0;8.5;47.0;48.0;32.0;10.4;12.0;7.5;;13-09-2024;7.5;1145.0;110.0
165;Macho;101.0;1365.0;3.0;13.0;16.0;14.0;8.5;42.0;39.5;39.5;12.0;11.5;8.5;;13-09-2024;8.0;1155.0;210.0
166;Macho;101.0;1055.0;2.3;12.6;20.2;17.0;9.5;46.0;45.0;30.0;10.0;12.0;8.0;;13-09-2024;7.5;905.0;150.0
