ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR;DATA_MEDICAO;DEDOMAIOR;PESO_ANTERIOR;GANHO_PESO
1;Macho;21.0;326.0;1.8;9.0;6.6;11.5;5.1;22.9;22.4;15.6;6.8;7.0;4.0;3.2;25-06-2024;;191.0;135.0
2;Fêmea;21.0;336.0;1.4;8.5;8.0;9.2;4.7;24.8;22.7;16.4;5.0;7.0;3.7;4.2;25-06-2024;;192.0;144.0
3;Macho;21.0;249.0;1.3;8.5;5.5;8.0;3.0;22.0;20.8;14.5;5.0;5.4;3.5;4.0;25-06-2024;;157.0;92.0
4;Macho;21.0;336.0;1.4;8.5;8.2;9.8;4.7;22.3;24.0;16.5;4.7;7.0;4.4;4.2;25-06-2024;;198.0;138.0
4;Fêmea;21.0;219.0;1.5;8.5;8.0;9.0;4.6;22.0;18.5;17.5;5.4;7.0;4.0;3.9;25-06-2024;;336.0;-117.0
5;Fêmea;21.0;242.0;1.4;7.7;6.5;8.0;3.5;23.0;20.5;14.0;5.0;5.5;3.5;4.4;25-06-2024;;151.0;91.0
6;Fêmea;21.0;;2.0;8.9;6.4;12.0;6.9;25.6;26.6;16.0;5.9;6.3;4.2;4.3;25-06-2024;;200.0;
7;Macho;21.0;262.0;1.3;8.0;5.1;8.1;3.1;22.3;13.5;14.0;5.5;4.0;3.5;3.5;25-06-2024;;138.0;124.0
8;Macho;21.0;183.0;1.2;7.7;8.5;9.5;4.0;23.0;15.4;14.0;5.7;7.0;4.6;3.5;25-06-2024;;178.0;5.0
9;Fêmea;21.0;309.0;1.8;8.2;6.4;11.5;5.3;22.0;22.2;15.6;5.9;5.8;3.7;4.0;25-06-2024;;131.0;178.0
10;Macho;21.0;252.0;1.2;9.0;7.6;9.5;5.5;23.9;25.0;15.0;6.5;6.9;4.0;4.5;25-06-2024;;186.0;66.0
11;Macho;21.0;370.0;2.0;8.1;5.8;10.7;6.0;22.6;20.2;15.7;5.8;6.0;4.0;3.9;25-06-2024;;158.0;212.0
12;Macho;21.0;278.0;1.3;8.0;6.5;7.9;3.0;21.5;22.8;15.0;4.0;5.0;3.7;3.6;25-06-2024;;154.0;124.0
13;Macho;21.0;325.0;1.3;9.4;6.8;9.5;5.0;27.5;27.0;15.4;7.5;7.9;4.5;4.9;25-06-2024;;226.0;99.0
14;Macho;21.0;315.0;1.2;8.5;6.2;9.4;4.5;21.0;21.8;15.7;5.6;6.0;5.6;3.2;25-06-2024;;156.0;159.0
15;Fêmea;21.0;207.0;1.3;7.8;9.0;9.6;4.2;23.1;14.1;16.1;4.9;6.6;4.5;3.3;25-06-2024;;193.0;14.0
16;Fêmea;21.0;358.0;1.5;8.9;7.5;10.0;5.5;24.0;24.4;15.2;6.5;8.0;4.5;5.1;25-06-2024;;187.0;171.0
17;Macho;21.0;174.0;1.3;8.0;5.0;7.8;3.0;20.5;18.5;12.5;4.5;4.5;3.0;3.5;25-06-2024;;138.0;36.0
18;Macho;21.0;228.0;1.5;8.0;6.0;9.5;5.0;24.0;22.0;10.5;5.0;4.5;3.5;4.5;25-06-2024;;215.0;13.0
