ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR;DATA_MEDICAO;DEDOMAIOR;PESO_ANTERIOR;GANHO_PESO
1;Macho;14.0;191.0;1.8;8.0;5.2;6.1;3.7;19.7;15.8;13.4;5.0;5.2;4.0;3.3;18-06-2024;;89.0;102.0
2;Fêmea;14.0;192.0;1.5;7.4;5.7;9.4;5.3;21.9;19.6;12.8;5.3;5.7;3.9;3.4;18-06-2024;;86.0;106.0
3;Macho;14.0;157.0;1.5;7.9;7.2;7.5;3.5;20.0;12.0;12.5;4.0;4.0;3.5;3.8;18-06-2024;;71.0;86.0
4;Macho;14.0;198.0;1.6;8.4;7.7;8.0;5.5;21.5;18.7;14.3;5.0;4.9;4.0;3.6;18-06-2024;;92.0;106.0
5;Fêmea;14.0;151.0;1;7.0;5.0;6.0;3.0;17.5;16.0;13.0;4.0;5.0;3.5;3.5;18-06-2024;;78.0;73.0
6;Fêmea;14.0;200.0;1.2;8.0;7.0;7.0;4.0;19.5;19.0;13.5;5.0;3.5;3.5;4.0;18-06-2024;;98.0;102.0
7;Fêmea;14.0;138.0;1.3;7.4;5.0;7.1;3.2;18.5;17.8;12.8;3.9;5.0;2.8;2.7;18-06-2024;;70.0;68.0
8;Macho;14.0;178.0;1.9;7.6;4.6;8.8;4.2;21.9;19.4;13.6;4.4;6.7;3.2;3.1;18-06-2024;;87.0;91.0
9;Macho;14.0;131.0;1.7;7.4;4.7;8.0;3.6;18.5;16.5;11.0;4.7;4.6;3.6;3.0;18-06-2024;;77.0;54.0
10;Fêmea;14.0;186.0;1.6;8.0;6.7;6.9;5.2;19.9;19.6;12.6;4.7;4.5;3.4;4.1;18-06-2024;;88.0;98.0
11;Macho;14.0;158.0;1.4;7.5;6.0;7.0;3.0;20.0;12.0;13.0;4.0;5.0;3.5;4.0;18-06-2024;;81.0;77.0
