ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR;DATA_MEDICAO;DEDOMAIOR;PESO_ANTERIOR;GANHO_PESO
1;Macho;28.0;435.0;1.7;9;10.1;10;6.2;24.8;24.3;17.6;6.1;7;4.3;4.5;02-07-2024;;326.0;109.0
2;Fêmea;28.0;495.0;2.3;9.1;7.3;11.6;5;26.2;22.8;20.3;7.3;7.7;4.5;5.6;02-07-2024;;336.0;159.0
3;Macho;28.0;400.0;1.5;8.8;9;9.6;6;25.5;23;17.6;4.8;7.1;4;4.6;02-07-2024;;249.0;151.0
4;Macho;28.0;490.0;1.7;9.5;8;11.5;5;28;26;20;7;7.5;4.8;5.5;02-07-2024;;219.0;271.0
5;Fêmea;28.0;289.0;1.5;8.5;6.5;8.5;4.5;23.5;23.5;15;5.5;6.5;3.8;4.1;02-07-2024;;242.0;47.0
6;Fêmea;28.0;455.0;1.5;9;8.5;11.6;5;26.6;23.4;18;7;7.5;4.5;5.1;02-07-2024;;;
7;Fêmea;28.0;385.0;2.2;8.5;7.2;10.5;6.2;25.1;23.3;17;5.6;6.8;4.7;3.7;02-07-2024;;262.0;123.0
9;Macho;28.0;455.0;1.3;8.5;8.4;8.7;4.7;23.4;22.8;15.7;4.2;5.8;4.4;4.5;02-07-2024;;309.0;146.0
10;Macho;28.0;298.0;1.5;9.3;7.5;11.5;3.6;25.5;24.5;21;6.3;7.4;5.5;4;02-07-2024;;252.0;46.0
11;Fêmea;28.0;490.0;1.9;7.8;7.8;12.4;4.6;23.2;24.5;16.1;5.9;6.7;4.3;4.1;02-07-2024;;370.0;120.0
12;Macho;28.0;385.0;2.1;8.7;8.5;9.8;5.1;22.4;25.8;17.6;5.3;5;3.2;4.4;02-07-2024;;278.0;107.0
13;Macho;28.0;425.0;1.9;9;7.3;11.6;4.6;30.5;25.5;18.3;7.6;7;4.5;5.4;02-07-2024;;325.0;100.0
14;Macho;28.0;505.0;1.8;8.8;9.2;10.3;4.8;20.4;21.2;18.5;5.8;6.1;4.4;3.2;02-07-2024;;315.0;190.0
16;Macho;28.0;435.0;2.0;9.1;6.7;12.1;5.6;28.4;25.2;17.6;6.7;6.8;4;5;02-07-2024;;358.0;77.0
17;Macho;28.0;425.0;1.5;8.5;6;8.5;5.5;23;22;11;5;5.5;3.5;4.5;02-07-2024;;174.0;251.0
18;Macho;28.0;425.0;1.6;9.1;8.5;10.8;5.4;26.1;24.6;20.3;6.1;8;4.7;4.9;02-07-2024;;228.0;197.0
19;Fêmea;28.0;300.0;1.5;8.5;6;9;3.8;23;22.5;14;5.5;6;3.3;4.3;02-07-2024;;290.0;10.0
20;Fêmea;28.0;495.0;1.7;8.6;7.6;10;5.6;24.1;22.1;16;5.6;7;4;4;02-07-2024;;298.0;197.0
21;Macho;28.0;250.0;2.3;8.5;11.5;10;6;27;22;21;5;6;4.5;4;02-07-2024;;271.0;-21.0
22;Macho;28.0;315.0;2.0;9;8;9.5;5;25;26;18.5;6.5;7;4;4.9;02-07-2024;;197.0;118.0
23;Fêmea;28.0;460.0;2.3;8.5;9;11;6;27.5;29;18;8;7.5;4.3;5.5;02-07-2024;;198.0;262.0
24;Fêmea;28.0;435.0;2.0;8.5;9.5;8.9;4;22;24.5;17;5;6;5.1;5;02-07-2024;;276.0;159.0
25;Macho;28.0;405.0;1.6;8.4;8.5;8.5;5.3;22.1;21.9;15.6;4.9;4.9;4.5;4.7;02-07-2024;;160.0;245.0
26;Macho;28.0;295.0;2.5;9;11;10.5;5;24.5;24;19;6;7;4;4.5;02-07-2024;;231.0;64.0
27;Macho;28.0;295.0;1.3;8.3;6;11.4;4.4;21.9;20;14.5;6.8;7;3.2;4.7;02-07-2024;;219.0;76.0
28;Macho;28.0;450.0;1.6;8.8;10.5;10.2;4.7;24.7;24.9;16.8;4.9;7.2;4.6;5.6;02-07-2024;;269.0;181.0
29;Fêmea;28.0;255.0;1.5;8.5;7;9.5;5;24.5;24.5;16;6;6;3.5;4.3;02-07-2024;;208.0;47.0
30;Fêmea;28.0;300.0;2.2;9;7.2;12.9;7.2;23.4;25.4;18.6;5.5;6.8;4.4;4.2;02-07-2024;;350.0;-50.0
31;Fêmea;28.0;360.0;2.1;8.1;6.6;9.8;5.2;24.3;21.9;15.2;7;6.3;3.8;3.5;02-07-2024;;285.0;75.0
32;Macho;28.0;404.0;2.1;8.9;8.1;13.6;6.1;27.6;26.7;18.5;7;7.3;4.5;4.6;02-07-2024;;302.0;102.0
33;Fêmea;28.0;335.0;1.7;8.3;11.5;10.8;6;22;18.1;15.5;7;7.5;5;3.4;02-07-2024;;237.0;98.0
34;Fêmea;28.0;500.0;1.6;8.9;9.8;10.3;6;24.7;25.6;17.8;5.2;8.1;4.7;4.8;02-07-2024;;238.0;262.0
35;Fêmea;28.0;345.0;1.5;8.1;10.5;10.6;6.5;25.5;16;15.7;6;7.2;5.5;5.6;02-07-2024;;235.0;110.0
36;Macho;28.0;445.0;2.2;8.2;10;11;4;27;24;18.5;5;6.5;4.5;5;02-07-2024;;335.0;110.0
37;Fêmea;28.0;370.0;1.8;8.9;6.5;9.5;5.2;26;26;17.5;6.3;6.2;3.5;4.8;02-07-2024;;279.0;91.0
38;Macho;28.0;349.0;2.5;8.5;11;10;6.5;27;23;16.5;6;5.5;4;5;02-07-2024;;336.0;13.0
39;Macho;28.0;390.0;1.9;8.5;10.5;10;5.5;27;23;18;6;6;4;5.5;02-07-2024;;273.0;117.0
40;Fêmea;28.0;350.0;2.1;9.5;10.5;10.5;3.3;28.5;24.2;19.5;6.5;5.1;5;5;02-07-2024;;285.0;65.0
41;Macho;28.0;395.0;1.7;9;10.1;10;3;26.1;23.5;19;6.8;6;5.5;5;02-07-2024;;336.0;59.0
42;Macho;28.0;505.0;1.5;9.5;6.5;9.5;5.5;25.5;23;18.5;5.5;6;3.5;4.5;02-07-2024;;305.0;200.0
43;Macho;28.0;425.0;1.6;7.7;9.2;11.9;6.8;28.6;26.3;19;7.5;7.8;4.5;5;02-07-2024;;325.0;100.0
44;Fêmea;28.0;444.0;1.6;8.8;9;11.5;6.1;30;28;18.5;7.3;8;4.5;5.1;02-07-2024;;243.0;201.0
45;Macho;28.0;515.0;1.8;8.5;7;8.9;5.2;27.8;25;19;5.2;7.3;5.6;5.2;02-07-2024;;308.0;207.0
46;Fêmea;28.0;455.0;1.5;8;7;9.5;4;26;22;17;6;6.4;3.5;4.5;02-07-2024;;;
47;Macho;28.0;365.0;2.0;8.3;9;10;6.5;23;20;18.5;6;6.5;5;5;02-07-2024;;290.0;75.0
48;Fêmea;28.0;285.0;1.5;-;-;-;-;-;-;-;-;-;-;-;02-07-2024;;;
49;Macho;28.0;400.0;1.6;9.2;10.5;11.5;5.4;27.1;26.4;17.5;5.6;6;5;5;02-07-2024;;273.0;127.0
51;Macho;28.0;450.0;1.6;9.2;9.6;10.3;5.6;26.5;27;18.1;5.6;7.4;4;4.3;02-07-2024;;224.0;226.0
52;Macho;28.0;450.0;2.0;8.3;8.4;13.1;5.7;26.3;25.5;17;5.9;7.2;4.3;4.3;02-07-2024;;302.0;148.0
53;Fêmea;28.0;347.0;1.7;8.7;8.4;9.8;4.9;21.2;23.3;16.2;4.9;6.4;3.9;4.6;02-07-2024;;;
54;Fêmea;28.0;415.0;1.5;8.5;9.4;9.4;5.4;28.8;25.4;16.2;4.9;7.8;4.9;4.4;02-07-2024;;282.0;133.0
56;Macho;28.0;430.0;2.0;8.7;7.3;11;5.3;25.4;25.2;17.6;6.4;6.5;4.4;4.1;02-07-2024;;261.0;169.0
57;Macho;28.0;430.0;2.0;9;10;10;5;23;23;18.5;6;6;4.3;4.4;02-07-2024;;263.0;167.0
58;Macho;28.0;405.0;1.5;8.8;9.7;10.5;5.2;25;23.5;17.1;5;7.6;4.8;5.1;02-07-2024;;254.0;151.0
59;Fêmea;28.0;430.0;2.0;9.1;7.1;13;5.6;24.7;23.1;21.5;7;8.5;5;4.5;02-07-2024;;346.0;84.0
60;Fêmea;28.0;420.0;1.3;8.6;9.5;10.5;6.5;29;26;17.4;7;7.5;4.6;4.9;02-07-2024;;382.0;38.0
61;Macho;28.0;345.0;1.6;8.8;10.3;9.7;5.5;24.8;24.7;16.8;5;7.1;4.4;4.5;02-07-2024;;270.0;75.0
62;Macho;28.0;490.0;1.8;9;10;10.5;6.5;28.1;26;18.6;6.1;6;5;5.5;02-07-2024;;259.0;231.0
63;Macho;28.0;540.0;1.8;9.2;6.6;11.7;5.6;29.3;28.1;18.5;6.5;6.3;4;4.1;02-07-2024;;238.0;302.0
64;Fêmea;28.0;320.0;1.8;8.7;5;9.5;4.5;25;23.3;17;5;6;4;4.6;02-07-2024;;315.0;5.0
65;Macho;28.0;335.0;1.5;8.5;9.5;10.1;5.5;24.4;25.2;17;5.8;5.6;4.3;4.3;02-07-2024;;326.0;9.0
