ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR;DATA_MEDICAO;DEDOMAIOR;PESO_ANTERIOR;GANHO_PESO
1;Macho;52.0;800.0;2.0;10.2;14.5;12.1;4.7;35.9;35.4;28.3;8.0;9.0;6.4;7.0;26-07-2024;;635.0;165.0
2;Fêmea;52.0;945.0;2.0;11.3;16.5;15.5;7.5;43.0;36.0;27.0;10.5;10.0;7.0;7.0;26-07-2024;;700.0;245.0
3;Macho;52.0;740.0;2.1;11.1;9.4;14.4;7.4;35.0;32.4;24.0;9.0;9.2;5.5;6.0;26-07-2024;;545.0;195.0
4;Macho;52.0;935.0;2.5;11.0;13.0;14.0;6.0;35.0;36.0;27.0;9.0;13.0;7.0;6.0;26-07-2024;;755.0;180.0
5;Fêmea;52.0;715.0;2.4;11.1;9.5;15.4;6.8;34.2;33.7;25.9;9.3;9.6;5.9;5.3;26-07-2024;;470.0;245.0
6;Fêmea;52.0;760.0;2.3;11.0;13.0;14.0;8.0;35.0;34.0;27.0;9.0;11.0;5.5;7.5;26-07-2024;;635.0;125.0
7;Fêmea;52.0;785.0;2.5;10.5;12.0;13.0;6.0;35.0;34.0;28.0;9.0;10.0;7.0;6.0;26-07-2024;;500.0;285.0
8;Macho;52.0;775.0;2.0;10.6;9.9;14.3;6.5;34.1;33.2;24.9;8.1;10.0;5.0;5.9;26-07-2024;;610.0;165.0
9;Macho;52.0;620.0;3.0;10.6;12.0;13.6;6.0;35.0;25.0;24.1;8.7;8.0;6.8;5.8;26-07-2024;;445.0;175.0
10;Fêmea;52.0;925.0;2.0;11.5;17.1;14.8;8.0;37.0;34.0;28.9;7.8;10.2;6.1;6.1;26-07-2024;;760.0;165.0
11;Macho;52.0;670.0;2.0;10.1;14.3;13.3;4.5;31.0;30.3;23.3;8.7;8.0;6.5;6.5;26-07-2024;;520.0;150.0
12;Macho;52.0;940.0;2.7;11.0;7.5;17.5;11.2;33.0;30.4;28.0;9.2;7.5;6.8;5.5;26-07-2024;;655.0;285.0
13;Macho;52.0;1055.0;2.7;12.0;14.0;14.0;7.0;37.0;38.0;27.0;10.0;12.0;8.0;6.0;26-07-2024;;755.0;300.0
14;Macho;52.0;790.0;2.9;10.8;9.0;14.7;12.3;37.7;27.8;26.0;9.0;9.0;6.0;6.0;26-07-2024;;620.0;170.0
15;Macho;52.0;890.0;2.3;11.0;13.5;16.5;7.0;41.0;35.5;25.0;10.0;11.5;8.0;7.0;26-07-2024;;650.0;240.0
16;Macho;52.0;760.0;2.0;10.9;16.0;16.7;9.0;37.5;36.5;24.8;8.0;10.0;7.0;7.5;26-07-2024;;560.0;200.0
