ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR;DATA_MEDICAO;DEDOMAIOR;PESO_ANTERIOR;GANHO_PESO
1;Macho;66.0;990.0;2.2;12.0;13.0;15.0;5.6;42.0;41.0;31.0;13.3;11.0;7.8;6.0;09-08-2024;;800.0;190.0
2;Fêmea;66.0;1115.0;2.8;12.0;13.9;14.6;5.5;41.5;41.0;30.5;13.6;10.5;7.5;5.5;09-08-2024;;945.0;170.0
3;Macho;66.0;950.0;2.3;11.5;11.5;17.0;7.0;39.0;34.5;28.0;11.5;10.5;6.5;8.0;09-08-2024;;740.0;210.0
4;Macho;66.0;1085.0;4.0;13.8;16.0;34.5;9.0;36.0;32.2;31.3;10.3;11.0;8.5;8.0;09-08-2024;;935.0;150.0
5;Fêmea;66.0;970.0;2.5;11.0;12.0;14.0;6.2;36.0;34.0;33.5;10.5;11.2;8.3;5.5;09-08-2024;;715.0;255.0
6;Fêmea;66.0;1065.0;2.3;11.5;14.0;13.0;7.5;39.0;38.0;31.0;10.5;12.0;7.5;6.5;09-08-2024;;760.0;305.0
7;Fêmea;66.0;980.0;2.0;9.5;13.0;14.5;7.0;40.0;41.0;30.0;9.0;12.0;7.0;7.0;09-08-2024;;785.0;195.0
8;Macho;66.0;980.0;2.3;12.3;13.5;13.0;8.0;38.0;36.5;31.0;9.5;13.6;8.2;7.8;09-08-2024;;775.0;205.0
9;Macho;66.0;925.0;2.1;12.5;9.5;15.9;6.5;39.5;35.4;28.0;11.5;11.5;7.5;5.5;09-08-2024;;620.0;305.0
10;Fêmea;66.0;1180.0;20.0;10.5;13.0;14.0;6.0;44.0;37.0;30.5;11.0;10.0;6.0;7.0;09-08-2024;;925.0;255.0
11;Macho;66.0;855.0;2.3;11.5;15.0;14.0;7.5;40.0;38.0;33.0;11.0;12.5;8.0;7.5;09-08-2024;;670.0;185.0
12;Macho;66.0;1180.0;1.8;11.5;14.0;13.0;8.0;35.0;40.5;27.5;11.5;13.0;7.0;7.0;09-08-2024;;940.0;240.0
13;Macho;66.0;1310.0;2.3;12.5;13.0;16.5;8.5;44.0;37.5;30.0;10.0;12.0;8.0;8.5;09-08-2024;;1055.0;255.0
14;Macho;66.0;1005.0;1.7;11.0;12.0;14.5;6.0;40.0;39.0;28.0;9.0;13.0;5.5;6.5;09-08-2024;;790.0;215.0
15;Macho;66.0;1140.0;2.3;11.5;12.0;15.5;8.0;45.0;38.0;31.0;11.0;12.0;7.0;8.5;09-08-2024;;890.0;250.0
16;Macho;66.0;1000.0;2.3;11.5;15.0;14.5;9.0;38.0;39.5;31.0;11.0;13.0;9.0;8.5;09-08-2024;;760.0;240.0
17;Fêmea;66.0;840.0;2.0;11.5;15.0;13.7;7.5;38.0;40.0;30.0;9.0;9.6;7.7;6.1;09-08-2024;;540.0;300.0
18;Fêmea;66.0;1215.0;2.1;11.5;12.0;14.0;6.5;38.0;41.0;30.0;8.0;10.0;6.0;7.5;09-08-2024;;970.0;245.0
19;Macho;66.0;670.0;2.2;11.3;12.0;14.0;8.0;38.0;35.0;24.0;8.0;9.0;7.0;7.0;09-08-2024;;495.0;175.0
20;Macho;66.0;720.0;3.0;11.5;13.0;15.3;7.0;37.0;35.0;27.5;10.0;10.0;7.0;6.7;09-08-2024;;565.0;155.0
21;Fêmea;66.0;1195.0;2.5;11.0;11.0;16.5;7.0;40.5;35.5;32.0;10.0;12.0;6.5;7.5;09-08-2024;;970.0;225.0
22;Fêmea;66.0;805.0;2.0;11.0;13.5;12.0;7.5;37.0;37.0;31.0;11.0;10.0;8.0;6.2;09-08-2024;;815.0;-10.0
23;Macho;66.0;1005.0;3.5;12.2;12.0;20.5;6.5;45.0;35.5;38.5;11.5;11.5;8.0;8.5;09-08-2024;;835.0;170.0
