ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR;DATA_MEDICAO;DEDOMAIOR;PESO_ANTERIOR;GANHO_PESO
1;Macho;7.0;89.0;1.1;7.7;8.3;5.3;2.0;13.9;13.9;10.5;3.5;3.8;2.8;1.2;11-06-24;;32.0;57.0
2;Fêmea;7.0;86.0;0.9;7.6;6.3;5.0;3.5;15.2;15.3;9.7;4.3;3.9;2.6;2.7;11-06-24;;39.0;47.0
3;Macho;7.0;71.0;1.7;7.5;5.4;4.5;2.9;13.2;13.2;9.1;4.5;3.9;3.1;2.5;11-06-24;;29.0;42.0
4;Macho;7.0;92.0;1.1;7.0;5.2;5.4;2.4;16.1;14.6;10.6;3.6;4.4;2.5;2.7;11-06-24;;33.0;59.0
5;Fêmea;7.0;78.0;1.5;7.1;6.3;5.3;2.3;15.3;15.3;9.6;3.0;3.2;2.6;2.4;11-06-24;;33.0;45.0
6;Fêmea;7.0;98.0;1.3;8.5;5.9;4.2;2.0;17.2;17.4;12.9;5.2;4.5;3.3;2.8;11-06-24;;37.0;61.0
7;Fêmea;7.0;70.0;1.3;7.5;5.0;5.0;2.4;14.0;14.0;9.0;2.9;4.0;2.3;2.1;11-06-24;;25.0;45.0
8;Macho;7.0;87.0;1.3;7.6;6.8;7.1;2.6;14.9;14.7;11.7;4.2;4.6;3.5;3.0;11-06-24;;36.0;51.0
9;Macho;7.0;77.0;1.4;7.9;3.9;5.2;1.9;15.1;13.8;13.7;5.0;3.4;2.9;2.7;11-06-24;;29.0;48.0
10;Fêmea;7.0;88.0;1.6;7.7;4.1;4.9;2.1;15.2;15.0;10.7;4.7;4.0;2.9;2.2;11-06-24;;33.0;55.0
11;Macho;7.0;81.0;1.0;6.7;6.5;5.2;3.1;1.3;14.0;9.4;3.4;3.4;2.1;2.4;11-06-24;;31.0;50.0
12;Macho;7.0;73.0;0.9;7.5;4.6;3.7;2.1;14.1;15.2;11.8;3.7;4.5;2.8;2.6;11-06-24;;33.0;40.0
13;Macho;7.0;100.0;1.3;7.6;8.1;5.5;2.3;14.5;13.5;10.7;4.0;4.6;2.7;2.5;11-06-24;;29.0;71.0
14;Macho;7.0;73.0;1.2;7.4;7.1;5.8;2.7;14.2;13.8;9.8;3.5;4.0;3.5;2.8;11-06-24;;27.0;46.0
15;Macho;7.0;95.0;1.2;6.5;6.5;5.5;2.0;12.5;13.1;10.7;5.1;3.7;3.2;1.6;11-06-24;;35.0;60.0
16;Macho;7.0;91.0;1.5;7.7;4.6;4.8;2.2;15.0;15.7;12.1;4.3;3.9;3.0;2.8;11-06-24;;36.0;55.0
17;Fêmea;7.0;67.0;1.7;7.5;5.3;5.2;2.4;15.7;14.4;10.8;4.8;4.0;3.3;3.0;11-06-24;;27.0;40.0
18;Fêmea;7.0;96.0;1.4;7.0;4.3;5.0;2.7;15.3;14.7;10.2;3.8;3.6;2.8;2.8;11-06-24;;32.0;64.0
19;Macho;7.0;71.0;1.3;7.1;4.2;4.5;2.5;15.0;14.7;8.8;3.5;4.1;2.5;2.3;11-06-24;;28.0;43.0
20;Macho;7.0;78.0;1.3;6.6;8.8;5.2;2.0;13.0;13.0;12.3;3.3;3.4;2.3;2.4;11-06-24;;32.0;46.0
21;Fêmea;7.0;73.0;1.6;8.0;4.2;5.5;3.0;14.7;14.3;10.4;4.1;4.9;3.0;2.7;11-06-24;;32.0;41.0
22;Fêmea;7.0;81.0;1.2;7.9;7.4;5.8;2.7;14.5;14.4;9.8;3.5;4.8;2.8;2.5;11-06-24;;32.0;49.0
23;Macho;7.0;76.0;1.3;7.3;4.2;5.2;3.7;13.9;14.1;11.2;3.7;4.0;2.6;3.2;11-06-24;;34.0;42.0
24;Macho;7.0;79.0;1.5;7.4;4.1;4.7;1.7;16.0;12.5;9.5;5.4;3.9;3.3;2.3;11-06-24;;32.0;47.0
25;Macho;7.0;79.0;1.7;8.0;4.3;5.6;2.4;16.0;14.2;10.8;5.3;4.7;3.4;2.6;11-06-24;;30.0;49.0
26;Macho;7.0;81.0;1.7;8.0;4.5;5.5;2.3;16.0;13.4;11.2;5.9;4.7;3.1;2.3;11-06-24;;29.0;52.0
27;Fêmea;7.0;70.0;1.0;6.5;3.9;3.6;1.7;12.3;10.8;7.5;2.7;2.7;2.2;1.9;11-06-24;;24.0;46.0
28;Fêmea;7.0;77.0;1.6;7.2;5.1;5.2;2.0;16.2;14.6;11.5;5.7;3.9;3.2;2.4;11-06-24;;30.0;47.0
29;Fêmea;7.0;74.0;1.2;7.5;5.8;4.5;2.4;14.4;13.9;10.3;;3.8;2.4;2.4;11-06-24;;30.0;44.0
30;Macho;7.0;79.0;1.1;8.1;7.0;5.7;2.4;14.0;12.0;10.5;4.0;3.7;3.4;2.5;11-06-24;;32.0;47.0
31;Fêmea;7.0;71.0;1.6;7.5;4.4;6.0;1.9;14.1;13.9;12.9;5.7;3.9;3.2;2.4;11-06-24;;26.0;45.0
32;Fêmea;7.0;90.0;2.0;7.3;6.2;5.7;3.3;15.2;15.8;10.4;5.1;5.4;4.0;3.5;11-06-24;;33.0;57.0
33;Fêmea;7.0;88.0;1.5;7.6;3.7;5.2;1.5;15.5;14.6;12.0;5.3;3.9;3.5;3.0;11-06-24;;32.0;56.0
34;Macho;7.0;83.0;1.0;6.4;4.4;4.4;2.5;15.5;15.0;9.3;3.5;3.8;2.1;1.9;11-06-24;;30.0;53.0
35;Fêmea;7.0;68.0;1.0;7.5;7.0;6.8;3.1;14.1;14.2;9.6;3.3;4.0;3.2;2.3;11-06-24;;32.0;36.0
36;Macho;7.0;79.0;1.5;7.1;5.9;5.6;2.7;15.5;14.9;9.8;3.7;5.0;3.9;2.6;11-06-24;;27.0;52.0
37;Macho;7.0;87.0;1.4;7.5;5.8;4.2;2.3;17.2;17.0;10.7;3.6;3.9;2.8;2.8;11-06-24;;34.0;53.0
38;Fêmea;7.0;71.0;1.6;8.1;4.9;6.3;2.2;14.5;14.2;12.7;4.7;4.7;3.7;2.5;11-06-24;;27.0;44.0
39;Macho;7.0;83.0;1.3;8.4;6.5;5.6;2.8;15.0;14.0;10.9;3.1;4.0;3.4;2.8;11-06-24;;31.0;52.0
40;Macho;7.0;93.0;1.2;6.8;6.9;4.8;3.1;15.7;16.1;9.7;3.6;4.2;3.1;2.7;11-06-24;;33.0;60.0
41;Macho;7.0;74.0;1.5;8.1;3.6;5.0;2.4;13.2;13.3;13.4;4.3;3.7;3.0;2.7;11-06-24;;32.0;42.0
42;Fêmea;7.0;90.0;1.2;8.3;5.7;5.1;2.5;16.7;15.7;12.1;5.3;4.2;2.6;3.1;11-06-24;;30.0;60.0
43;Macho;7.0;94.0;1.3;8.1;5.6;3.7;3.2;16.3;15.7;10.5;4.6;4.6;3.0;3.0;11-06-24;;33.0;61.0
44;Fêmea;7.0;88.0;1.1;7.3;5.3;4.5;2.9;14.5;10.9;15.3;3.7;3.9;2.6;2.3;11-06-24;;;
45;Macho;7.0;88.0;1.1;8.2;7.6;6.2;2.8;14.5;13.6;10.6;3.7;3.9;2.9;3.1;11-06-24;;30.0;58.0
46;Fêmea;7.0;84.0;1.3;7.9;6.7;6.3;4.5;15.9;14.9;11.0;4.9;5.0;3.5;3.4;11-06-24;;35.0;49.0
47;Macho;7.0;83.0;1.3;7.2;4.3;4.6;2.8;16.5;14.7;8.7;3.5;3.9;2.3;1.9;11-06-24;;32.0;51.0
49;Fêmea;7.0;96.0;1.3;7.4;5.7;6.3;3.7;15.1;16.1;10.5;4.3;4.7;3.0;2.8;11-06-24;;39.0;57.0
51;Macho;7.0;69.0;1.5;7.4;4.4;5.5;2.1;13.7;14.8;11.1;4.8;3.6;2.8;2.6;11-06-24;;29.0;40.0
52;Macho;7.0;90.0;1.4;8.0;4.4;5.1;1.9;14.5;14.7;12.4;4.8;3.6;2.9;2.0;11-06-24;;34.0;56.0
53;Fêmea;7.0;69.0;1.4;8.2;4.1;4.7;2.3;14.8;13.9;12.7;4.2;3.7;3.1;2.3;11-06-24;;31.0;38.0
54;Fêmea;7.0;78.0;1.1;6.3;4.1;4.6;2.9;14.2;14.5;9.0;3.1;3.7;2.1;2.5;11-06-24;;30.0;48.0
55;Macho;7.0;44.0;1.0;7.0;4.5;3.5;1.7;13.2;13.2;7.7;3.6;4.1;2.8;2.2;11-06-24;;31.0;13.0
56;Macho;7.0;85.0;1.1;8.3;6.8;8.1;2.9;16.1;13.0;11.0;3.7;3.3;2.4;2.3;11-06-24;;33.0;52.0
57;Macho;7.0;75.0;1.0;7.0;4.4;5.1;2.5;14.7;12.8;9.1;3.3;4.2;2.2;2.1;11-06-24;;31.0;44.0
58;Macho;7.0;79.0;1.3;8.2;5.8;4.7;2.9;15.8;15.8;11.0;3.8;3.4;3.0;2.9;11-06-24;;34.0;45.0
59;Fêmea;7.0;92.0;2.2;7.0;6.8;5.8;3.2;16.3;15.0;11.4;5.0;4.7;4.5;3.4;11-06-24;;31.0;61.0
60;Fêmea;7.0;70.0;1.5;6.4;4.3;4.8;2.5;12.9;12.1;9.5;3.0;3.5;2.7;2.4;11-06-24;;26.0;44.0
61;Macho;7.0;85.0;1.7;7.0;3.6;4.9;2.0;15.0;11.7;10.8;5.6;4.5;3.0;2.0;11-06-24;;32.0;53.0
62;Macho;7.0;100.0;1.1;6.9;5.0;4.0;2.5;16.2;14.2;9.7;3.2;3.5;3.8;2.7;11-06-24;;3.0;97.0
63;Macho;7.0;92.0;1.3;7.0;5.2;4.7;2.9;16.0;16.3;11.5;4.1;3.9;2.7;2.3;11-06-24;;34.0;58.0
64;Fêmea;7.0;78.0;1.3;7.6;4.1;5.0;3.3;14.0;15.5;10.4;4.0;4.3;2.9;2.4;11-06-24;;31.0;47.0
65;Macho;7.0;90.0;1.6;8.5;4.4;5.5;2.3;15.9;15.8;11.5;5.3;4.7;3.6;2.5;11-06-24;;34.0;56.0
66;Fêmea;7.0;82.0;1.5;8.0;5.1;4.8;2.2;15.3;15.7;11.1;4.4;3.6;2.9;2.8;11-06-24;;34.0;48.0
67;Fêmea;7.0;91.0;1.1;7.8;6.4;8.0;3.5;16.0;11.8;11.3;4.0;3.2;2.5;2.3;11-06-24;;36.0;55.0
68;Fêmea;7.0;92.0;1.4;8.1;8.5;7.3;2.7;15.6;14.4;10.8;4.7;4.2;3.2;2.3;11-06-24;;31.0;61.0
