ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR;DATA_MEDICAO;DEDOMAIOR;PESO_ANTERIOR;GANHO_PESO
4;Macho;115.0;1565.0;2.5;13.0;14.0;17.0;9.0;54.0;45.0;40.0;12.0;14.0;7.0;;27-09-2024;9.0;1395.0;170.0
5;Fêmea;115.0;1300.0;2.0;15.0;16.0;15.0;9.0;42.0;44.0;42.0;11.0;12.0;9.0;;27-09-2024;7.0;1190.0;110.0
6;Fêmea;115.0;1615.0;2.4;13.8;19.0;14.5;8.0;41.3;45.0;38.0;12.5;12.1;8.2;;27-09-2024;8.2;1270.0;345.0
7;Fêmea;115.0;1505.0;2.7;13.0;12.0;17.0;9.0;50.0;47.0;36.0;13.0;14.0;9.0;;27-09-2024;7.5;1245.0;260.0
8;Macho;115.0;1715.0;3.0;15.0;20.0;15.0;7.0;45.0;41.0;37.0;11.0;14.0;8.5;;27-09-2024;6.0;1240.0;475.0
9;Macho;115.0;1310.0;2.5;15.0;15.0;19.0;8.0;52.0;44.0;39.0;12.0;11.0;8.0;;27-09-2024;7.2;1150.0;160.0
11;Macho;115.0;1540.0;2.6;13.0;17.0;15.5;8.0;42.5;38.0;12.0;14.0;9.0;8.0;;27-09-2024;;1055.0;485.0
13;Macho;115.0;1625.0;3.0;13.0;19.0;16.0;7.0;54.0;50.0;34.0;13.0;12.0;8.0;;27-09-2024;9.5;1580.0;45.0
14;Macho;115.0;1310.0;2.5;13.0;18.0;16.0;7.0;46.0;40.0;39.0;12.5;12.0;8.5;;27-09-2024;5.5;1200.0;110.0
15;Macho;115.0;1615.0;3.0;11.0;16.0;17.0;8.0;52.0;47.0;40.0;12.0;13.0;8.0;;27-09-2024;10.0;1330.0;285.0
16;Macho;115.0;1415.0;2.5;13.5;22.0;16.0;9.0;51.0;50.0;35.0;11.0;13.0;8.0;;27-09-2024;8.5;1200.0;215.0
17;Fêmea;115.0;1435.0;2.8;13.4;21.2;15.6;7.6;48.3;43.7;33.2;11.1;11.2;7.1;;27-09-2024;7.8;1215.0;220.0
