ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR
136;Macho;7;94.0;1.1;8.0;7.1;6.1;3.3;15.3;13.8;11.3;4.1;3.7;3.0;2.4
138;Macho;7;89.0;1.2;8.1;7.9;5.5;2.3;15.5;14.4;9.7;4.6;3.7;2.6;2.4
140;Femea;7;92.0;1.3;7.2;7.2;6.3;3.5;16.0;15.2;11.2;4.3;3.7;2.9;3.1
144;Macho;7;92.0;1.2;7.8;8.3;6.3;3.2;15.5;15.6;11.3;3.6;4.6;3.4;2.6
146;Femea;7;95.0;1.1;7.0;7.5;5.2;3.0;16.5;16.0;9.5;3.9;4.8;2.9;2.5
156;Femea;7;94.0;1.1;7.4;6.0;4.7;2.4;15.9;15.9;11.8;4.3;3.8;2.7;3.1
177;Macho;7;69.0;1.3;6.3;4.1;4.3;2.1;13.6;13.6;8.6;3.1;4.0;2.5;2.5
179;Macho;7;83.0;1.7;7.5;3.7;5.2;1.9;15.2;14.9;12.3;3.3;3.7;3.1;2.2
182;Macho;7;90.0;1.3;6.7;4.7;3.4;2.3;16.4;15.2;9.4;4.0;4.5;3.0;2.3
184;Macho;7;103.0;1.6;7.9;4.3;5.0;2.9;14.0;14.2;13.0;4.2;3.5;2.9;2.3
187;Femea;7;36.0;0.8;7.4;4.1;2.1;1.5;11.0;11.5;8.0;2.6;2.2;2.2;2.4
198;Femea;7;76.0;1.2;8.1;5.9;5.9;3.4;15.3;14.4;10.4;3.9;3.8;3.2;2.5
202;Macho;7;80.0;1.6;7.8;4.3;5.8;2.6;14.8;14.9;12.4;4.0;3.7;3.6;2.7
205;Macho;7;74.0;1.7;8.0;4.8;6.0;2.1;15.6;12.8;10.1;5.1;4.9;3.2;2.6
212;Macho;7;101.0;1.2;7.2;7.6;5.2;2.3;15.7;16.4;10.9;3.5;3.8;2.9;3.1
218;Femea;7;90.0;1.5;6.7;7.3;4.4;2.7;15.9;15.3;10.9;3.5;4.2;3.4;2.7
1;Macho;14;191.0;1.8;8.0;5.2;6.1;3.7;19.7;15.8;13.4;5.0;5.2;4.0;3.3
3;Macho;14;157.0;1.5;7.9;7.2;7.5;3.5;20.0;12.0;12.5;4.0;4.0;3.5;3.8
4;Macho;14;198.0;1.6;8.4;7.7;8.0;5.5;21.5;18.7;14.3;5.0;4.9;4.0;3.6
5;Femea;14;151.0;1.0;7.0;5.0;6.0;3.0;17.5;16.0;13.0;4.0;5.0;3.5;3.5
7;Femea;14;138.0;1.3;7.4;5.0;7.1;3.2;18.5;17.8;12.8;3.9;5.0;2.8;2.7
18;Femea;14;215.0;2.3;8.4;7.2;7.3;5.6;21.3;20.4;13.8;5.3;6.8;4.4;4.6
23;Macho;14;149.0;2.1;7.7;8.0;7.5;5.0;16.5;17.0;14.5;3.8;5.4;4.1;4.2
25;Macho;14;149.0;1.5;7.6;6.0;7.5;2.5;18.0;11.0;12.5;4.0;5.0;3.5;4.0
29;Femea;14;154.0;1.3;7.8;6.0;6.5;3.0;19.0;10.5;12.0;3.5;5.0;3.5;3.5
52;Macho;14;186.0;1.7;7.5;7.0;8.0;4.0;21.0;19.0;15.0;5.5;4.5;3.3;3.5
60;Femea;14;162.0;1.0;7.5;6.0;7.0;3.4;18.0;18.1;13.0;4.5;5.0;3.3;3.2
70;Macho;14;158.0;1.2;7.6;5.0;8.6;3.5;17.6;17.4;11.4;46.0;4.5;3.9;2.7
89;Femea;14;180.0;1.5;7.4;7.0;6.8;3.0;19.5;13.0;14.0;5.0;4.0;3.7;3.7
