ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR
69;Femea;0;35;1.1;6.8;4.8;3.5;1.2;13.5;13.3;7.5;3.2;3.6;2.6;2.3
71;Macho;0;34;0.7;6.2;5.7;4.0;2.5;12.1;12.7;7.3;3.4;3.4;2.5;2.3
72;Macho;0;32;1.8;6.7;4.4;4.6;2.1;13.5;10.7;7.0;3.4;3.2;2.7;3.0
73;Macho;0;32;0.6;7.5;2.5;3.6;1.4;14.0;10.2;9.2;2.7;3.7;2.8;2.3
74;Femea;0;37;1.0;6.4;3.0;4.0;1.3;13.7;12.4;8.7;2.7;3.1;1.9;2.0
76;Femea;0;38;0.7;7;3.5;4.7;1.4;13.5;11.0;7.4;2.4;3.2;2.0;2.2
78;Femea;0;32;0.8;7.4;3.0;4.5;2.0;11.7;11.7;7.5;2.5;2.9;2.3;2.3
79;Macho;0;34;1.5;7.3;3.5;3.6;2.0;12.7;13.3;8.8;3.1;3.1;2.7;2.6
80;Macho;0;33;1.3;5.3;5.5;3.2;1.2;11.8;12.4;8.2;2.7;3.1;2.2;2.2
81;Macho;0;34;1.2;7.2;5.4;3.5;2.2;13.4;12.1;7.9;4.0;3.1;2.3;2.4
82;Macho;0;38;0.7;6.5;5.1;4.0;2.0;13.6;12.2;8.3;2.3;2.8;2.4;2.5
83;Macho;0;26;1.1;5.5;3.4;3.0;1.5;12.4;10.8;8.9;3.1;3.0;2.4;2.2
85;Femea;0;36;0.9;6.4;6.6;3.5;2.2;12.4;13.5;7.4;3.4;3.1;2.7;2.3
86;Macho;0;33;1.1;7;5.0;3.1;0.8;13.0;12.3;7.8;2.0;3.6;1.9;2.0
87;Femea;0;23;1.1;6.4;7.5;4.0;1.0;11.1;10.7;6.2;2.1;2.4;2.1;1.8
89;Femea;0;37;1.0;7.2;3.9;3.9;1.6;12.8;12.5;8.5;3.5;3.7;2.5;2.7
90;Femea;0;32;1.0;3.5;3.7;3.0;2.3;13.1;13.1;8.7;3.1;3.2;2.1;2.0
91;Femea;0;30;1.9;6.5;5.7;2.8;2.0;13.3;12.0;6.3;3.2;3.3;2.4;2.7
92;Macho;0;34;0.8;6.9;4.0;4.1;2.5;13.2;11.6;8.5;2.7;2.7;2.0;2.5
93;Macho;0;27;1.2;5.6;4.2;2.3;2.2;11.5;11.8;7.2;2.7;2.9;2.3;2.0
94;Femea;0;37;1.1;6.7;3.5;3.1;1.1;12.3;11.5;8.2;2.6;2.4;1.9;2.1
96;Femea;0;32;1.3;6.9;3.2;2.7;1.5;12.4;13.0;7.5;2.0;3.3;2.5;2.2
97;Femea;0;31;0.8;7;4.5;2.7;1.8;13.2;14.3;8.1;2.7;3.8;2.8;2.5
98;Macho;0;27;1.0;6.4;3.0;4.6;2.0;11.8;13.6;8.4;2.8;3.2;1.8;2.3
99;Macho;0;29;0.6;5.7;6.0;3.2;1.5;9.6;8.6;7.6;2.6;2.1;1.9;2.0
100;Femea;0;38;1.2;7.9;3.3;3.3;1.9;13.1;13.0;10.3;3.5;4.0;2.3;2.2
101;Macho;0;34;1.3;7;3.4;3.0;2.0;12.8;12.5;10.0;3.4;3.4;2.2;2.4
102;Macho;0;29;1.5;6.6;3.3;3.4;1.8;13.7;12.0;8.4;3.5;3.5;2.4;2.2
103;Macho;0;31;0.7;6.7;4.9;2.8;2.3;13.5;12.7;9.2;3.0;3.6;2.4;2.0
104;Femea;0;38;1.1;5.7;5.6;3.3;2.1;11.8;12.8;7.5;2.9;3.4;2.6;2.3
105;Femea;0;34;1.0;6;5.6;3.2;2.1;11.5;12.0;8.2;3.0;3.5;3.0;2.5
106;Macho;0;30;0.7;6.2;4.9;2.1;2.0;13.4;11.0;8.8;2.9;2.9;2.8;2.5
107;Macho;0;32;1.1;6.3;5.3;2.5;1.9;14.2;12.2;8.1;2.8;4.1;2.5;2.7
