ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR
20;Macho;7;78;1.3;6.6;8.8;5.2;2.0;13.0;13.0;12.3;3.3;3.4;2.3;2.4
25;Macho;7;79;1.7;8;4.3;5.6;2.4;16.0;14.2;10.8;5.3;4.7;3.4;2.6
26;Macho;7;81;1.7;8;4.5;5.5;2.3;16.0;13.4;11.2;5.9;4.7;3.1;2.3
31;Femea;7;71;1.6;7.5;4.4;6.0;1.9;14.1;13.9;12.9;5.7;3.9;3.2;2.4
39;Macho;7;83;1.3;8.4;6.5;5.6;2.8;15.0;14.0;10.9;3.1;4.0;3.4;2.8
47;Macho;7;83;1.3;7.2;4.3;4.6;2.8;16.5;14.7;8.7;3.5;3.9;2.3;1.9
57;Macho;7;75;1.0;7;4.4;5.1;2.5;14.7;12.8;9.1;3.3;4.2;2.2;2.1
62;Macho;7;100;1.1;6.9;5.0;4.0;2.5;16.2;14.2;9.7;3.2;3.5;3.8;2.7
70;Macho;7;84;1.3;6.1;5.1;4.9;2.5;16.4;15.0;10.7;3.6;3.9;2.5;2.4
75;Femea;7;76;1.0;6.6;3.5;4.3;2.3;14.7;11.3;8.5;3.2;3.5;2.3;2.1
77;Macho;7;91;1.3;8.2;7.2;3.9;2.3;16.1;15.9;11.1;4.1;4.9;2.5;2.9
84;Macho;7;103;1.2;7.7;6.2;4.7;3.4;16.9;17.9;10.0;4.7;4.9;3.1;3.1
88;Femea;7;80;1.6;7.2;4.2;4.1;2.0;16.3;13.2;10.3;5.3;3.7;2.8;2.5
95;Femea;7;74;1.5;8;4.6;4.8;2.0;17.6;14.0;10.9;5.1;4.4;3.5;2.8
111;Macho;7;89;1.2;7.9;6.4;6.2;3.3;14.7;15.2;11.1;3.1;4.4;3.3;2.7
114;Macho;7;94;1.1;7.6;4.7;4.9;2.3;15.1;14.3;9.1;3.1;4.0;3.2;2.9
115;Femea;7;83;1.0;7.2;4.7;3.8;2.4;17.4;15.7;10.3;4.5;4.1;2.8;2.9
117;Macho;7;102;1.6;7.2;5.4;4.9;2.8;16.1;16.0;10.6;5.0;4.1;2.9;3.2
118;Femea;7;80;1.2;7.4;5.5;5.0;2.1;15.2;15.1;11.5;4.2;3.9;2.8;3.1
127;Femea;7;62;1.4;7.2;7.2;5.9;2.7;14.5;13.1;8.3;4.1;3.8;2.8;2.7
129;Macho;7;82;1.6;6.3;4.7;5.1;2.4;16.5;14.4;9.5;3.3;3.8;2.4;1.9
130;Femea;7;75;1.0;6.7;5.4;4.8;2.9;15.0;13.9;8.4;3.7;3.9;2.2;2.0
