ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR;DATA_MEDICAO;DEDOMAIOR;PESO_ANTERIOR;GANHO_PESO
42;Fêmea;80.0;1160.0;2.6;12.2;19.0;14.6;6.5;43.3;42.3;37.2;13.1;10.3;7.3;8.1;23-08-2024;;965.0;195.0
43;Macho;80.0;1335.0;2.4;12.6;14.2;15.5;9.0;47.1;42.1;39.7;12.6;11.5;7.6;7.5;23-08-2024;;1180.0;155.0
44;Fêmea;80.0;1270.0;2.2;11.5;17.0;17.0;7.0;43.0;47.0;33.0;11.5;14.0;8.0;7.5;23-08-2024;;1105.0;165.0
46;Fêmea;80.0;1035.0;2.6;12.0;17.1;14.7;7.3;43.4;40.8;34.3;11.7;13.2;7.4;8.2;23-08-2024;;715.0;320.0
47;Macho;80.0;1195.0;2.5;12.0;16.0;17.0;8.0;41.0;50.0;34.0;12.0;12.0;8.0;9.0;23-08-2024;;940.0;255.0
49;Fêmea;80.0;1420.0;2.5;12.7;16.0;15.0;7.0;39.0;36.0;37.0;12.0;11.0;7.0;6.0;23-08-2024;;1190.0;230.0
51;Macho;80.0;1155.0;2.8;12.6;14.0;13.0;6.0;42.0;35.0;34.5;11.5;10.5;8.0;5.5;23-08-2024;;1015.0;140.0
52;Macho;80.0;1355.0;2.7;12.3;22.4;16.7;9.8;46.0;42.4;34.0;13.6;12.0;8.6;10.0;23-08-2024;;1030.0;325.0
53;Fêmea;80.0;1190.0;2.5;12.2;19.0;16.0;9.0;43.5;44.0;32.4;8.0;10.4;7.0;7.0;23-08-2024;;970.0;220.0
54;Fêmea;80.0;1120.0;2.8;13.8;21.1;14.8;8.4;46.0;33.9;32.5;13.5;11.8;8.8;8.6;23-08-2024;;935.0;185.0
56;Macho;80.0;1140.0;2.0;13.0;15.0;17.0;8.0;49.0;43.0;33.0;12.0;14.0;9.0;8.0;23-08-2024;;895.0;245.0
57;Macho;80.0;1265.0;2.4;13.0;20.2;18.1;6.7;48.0;34.4;39.9;12.4;11.0;8.4;8.3;23-08-2024;;1065.0;200.0
58;Macho;80.0;1170.0;3.0;13.0;14.0;14.0;7.0;40.0;38.0;31.0;12.0;9.0;8.0;6.0;23-08-2024;;1010.0;160.0
59;Fêmea;80.0;1080.0;2.8;11.8;17.0;14.5;7.5;41.0;31.0;32.5;12.0;12.0;8.5;5.5;23-08-2024;;850.0;230.0
60;Fêmea;80.0;1250.0;2.3;12.5;13.0;14.3;5.8;41.0;35.0;34.0;11.0;11.0;7.0;5.5;23-08-2024;;1120.0;130.0
62;Macho;80.0;1285.0;2.5;12.0;16.0;13.0;6.0;44.0;38.0;37.0;11.5;11.5;7.3;5.8;23-08-2024;;1110.0;175.0
63;Macho;80.0;1585.0;2.5;11.5;17.0;16.0;7.0;46.0;40.0;33.0;13.0;13.0;7.5;8.9;23-08-2024;;1340.0;245.0
65;Macho;80.0;905.0;2.0;12.0;16.0;17.0;8.0;42.0;43.0;35.0;12.0;14.0;9.0;8.0;23-08-2024;;765.0;140.0
66;Fêmea;80.0;1030.0;2.0;12.0;17.0;16.0;7.0;49.0;41.0;34.0;12.0;12.0;7.0;8.0;23-08-2024;;900.0;130.0
67;Fêmea;80.0;1260.0;2.4;12.4;21.7;15.9;8.9;45.0;32.4;39.3;12.4;13.2;8.4;7.1;23-08-2024;;1200.0;60.0
68;Fêmea;80.0;1335.0;2.3;11.5;16.5;15.5;7.5;49.0;41.0;35.0;12.0;12.0;7.0;7.8;23-08-2024;;1115.0;220.0
69;Fêmea;80.0;1285.0;2.4;12.0;17.0;15.0;11.0;43.0;43.0;31.0;13.0;13.0;7.0;7.5;23-08-2024;;1115.0;170.0
70;Macho;80.0;1170.0;3.0;12.5;16.0;15.5;5.5;40.5;35.0;30.5;10.5;10.5;7.5;6.0;23-08-2024;;985.0;185.0
71;Macho;80.0;1200.0;2.1;13.0;17.0;17.0;8.0;42.0;43.0;33.0;13.0;13.0;8.0;8.0;23-08-2024;;1035.0;165.0
72;Macho;80.0;1225.0;2.3;11.0;15.0;16.0;8.0;47.1;41.0;39.0;11.9;13.5;7.5;9.0;23-08-2024;;1055.0;170.0
73;Macho;80.0;885.0;2.5;12.5;17.0;14.5;7.5;39.0;34.0;31.0;9.5;11.5;6.3;5.5;23-08-2024;;725.0;160.0
74;Fêmea;80.0;1225.0;2.4;11.5;17.0;15.0;8.0;46.0;42.5;33.5;11.0;12.5;8.0;7.6;23-08-2024;;995.0;230.0
75;Fêmea;80.0;995.0;3.0;13.0;15.0;14.5;7.2;43.0;42.0;32.5;12.0;11.0;7.5;6.0;23-08-2024;;755.0;240.0
76;Fêmea;80.0;1455.0;3.5;14.0;15.0;12.0;7.0;45.0;39.0;34.5;13.0;10.0;8.0;6.0;23-08-2024;;1280.0;175.0
77;Macho;80.0;995.0;2.5;12.0;18.5;15.0;7.0;41.0;35.0;41.5;12.0;11.5;9.0;6.0;23-08-2024;;815.0;180.0
79;Macho;80.0;1150.0;2.8;13.5;14.0;13.0;8.5;43.0;38.0;35.0;10.0;11.0;8.0;6.5;23-08-2024;;990.0;160.0
80;Macho;80.0;1075.0;2.3;12.0;14.0;14.0;6.0;40.5;35.0;30.5;12.8;12.0;7.5;5.0;23-08-2024;;895.0;180.0
81;Macho;80.0;1330.0;2.2;11.5;18.0;16.0;8.0;44.0;44.0;34.0;12.5;13.5;7.5;7.5;23-08-2024;;1210.0;120.0
82;Macho;80.0;1250.0;2.7;12.4;20.9;16.1;8.2;46.2;48.4;34.4;12.8;14.1;9.3;8.5;23-08-2024;;1055.0;195.0
83;Macho;80.0;975.0;2.3;12.0;16.0;16.0;8.0;42.0;45.0;31.0;10.0;12.5;7.0;8.0;23-08-2024;;790.0;185.0
84;Macho;80.0;1175.0;2.0;10.0;18.0;15.0;7.0;43.0;45.0;27.5;10.0;13.0;7.0;8.2;23-08-2024;;945.0;230.0
88;Fêmea;80.0;995.0;2.1;11.8;18.0;16.0;8.0;45.0;38.0;37.0;11.0;12.0;7.0;8.2;23-08-2024;;810.0;185.0
89;Fêmea;80.0;1290.0;2.5;13.1;18.2;17.4;8.5;49.1;46.0;37.0;12.1;11.0;7.7;6.8;23-08-2024;;1170.0;120.0
90;Fêmea;80.0;1290.0;2.0;10.5;15.0;14.0;7.0;46.0;42.0;34.0;12.0;11.0;6.0;7.5;23-08-2024;;1120.0;170.0
92;Macho;80.0;970.0;2.0;11.5;19.0;15.0;7.0;49.5;41.0;38.0;12.0;11.5;8.0;8.5;23-08-2024;;825.0;145.0
93;Macho;80.0;1210.0;3.0;12.7;14.5;13.2;4.2;43.0;34.2;39.0;13.0;12.5;8.0;5.0;23-08-2024;;1025.0;185.0
94;Fêmea;80.0;1460.0;2.4;13.5;19.8;14.2;7.8;44.8;43.3;34.7;13.3;12.6;8.6;8.8;23-08-2024;;1255.0;205.0
95;Fêmea;80.0;715.0;3.5;11.2;16.0;15.0;7.0;43.0;39.0;28.0;10.0;11.0;7.0;5.5;23-08-2024;;705.0;10.0
96;Fêmea;80.0;1100.0;2.8;12.0;17.0;16.0;7.5;39.0;38.5;30.3;11.7;12.0;8.0;6.7;23-08-2024;;835.0;265.0
97;Fêmea;80.0;955.0;2.5;12.0;18.0;16.0;7.5;46.5;43.0;31.0;12.0;11.0;7.5;8.0;23-08-2024;;805.0;150.0
98;Macho;80.0;935.0;2.1;12.0;18.0;16.5;8.0;41.0;42.0;31.0;13.0;13.0;9.0;6.5;23-08-2024;;805.0;130.0
99;Macho;80.0;1320.0;2.3;11.5;16.0;15.5;7.0;47.0;42.0;36.0;10.0;11.0;7.0;7.2;23-08-2024;;1145.0;175.0
100;Fêmea;80.0;1115.0;2.8;11.5;16.0;16.0;6.0;42.0;44.0;34.0;12.0;12.0;7.0;8.2;23-08-2024;;880.0;235.0
101;Macho;80.0;1050.0;2.0;12.5;16.0;16.0;8.0;47.0;42.0;35.0;12.0;14.0;8.0;7.0;23-08-2024;;820.0;230.0
102;Macho;80.0;1215.0;2.5;12.0;15.0;14.0;6.0;41.0;34.0;41.5;10.0;9.5;8.0;5.5;23-08-2024;;1090.0;125.0
103;Macho;80.0;1430.0;2.7;12.8;15.5;15.0;7.0;42.0;38.0;35.8;12.0;13.0;7.0;5.5;23-08-2024;;1205.0;225.0
104;Fêmea;80.0;1120.0;2.3;11.4;16.0;15.0;8.0;41.5;38.0;31.0;10.0;12.0;6.5;8.0;23-08-2024;;1010.0;110.0
105;Fêmea;80.0;1310.0;2.5;11.7;12.2;14.8;7.4;46.3;38.0;32.5;11.4;11.2;7.4;6.9;23-08-2024;;1110.0;200.0
106;Macho;80.0;600.0;2.2;11.0;14.0;14.0;7.0;37.0;37.0;24.0;9.5;10.0;6.0;7.0;23-08-2024;;500.0;100.0
107;Macho;80.0;1130.0;3.1;12.9;19.1;15.2;9.6;47.0;32.9;39.6;13.8;13.1;8.6;9.0;23-08-2024;;975.0;155.0
108;Fêmea;80.0;865.0;2.0;12.4;15.0;18.0;7.0;43.0;42.0;32.0;12.0;13.0;8.0;8.0;23-08-2024;;705.0;160.0
109;Macho;80.0;1470.0;3.0;13.4;17.9;16.3;9.0;47.5;46.1;33.6;12.6;13.3;9.9;8.6;23-08-2024;;1260.0;210.0
110;Fêmea;80.0;900.0;2.6;12.5;21.3;15.5;9.3;45.0;41.5;33.4;13.2;11.6;8.2;8.4;23-08-2024;;755.0;145.0
111;Fêmea;80.0;1095.0;2.5;11.5;17.0;15.0;7.0;46.0;43.0;32.0;12.5;10.0;7.0;8.0;23-08-2024;;1040.0;55.0
112;Fêmea;80.0;;2.0;12.0;16.0;16.0;9.0;47.0;45.0;32.0;13.0;13.5;9.0;8.5;23-08-2024;;875.0;
114;Macho;80.0;1265.0;2.1;13.0;17.0;15.0;8.0;45.0;47.0;33.0;12.0;15.0;9.0;8.5;23-08-2024;;1165.0;100.0
115;Fêmea;80.0;1150.0;2.5;13.5;15.0;14.0;6.0;41.5;40.0;31.3;10.0;12.5;8.0;6.0;23-08-2024;;1005.0;145.0
116;Macho;80.0;1225.0;2.6;13.5;21.7;16.5;9.3;47.0;42.7;34.7;11.7;11.9;8.5;8.7;23-08-2024;;980.0;245.0
117;Macho;80.0;1260.0;2.6;13.3;21.3;14.3;7.9;50.0;42.8;33.6;13.1;12.6;7.6;8.2;23-08-2024;;1195.0;65.0
118;Fêmea;80.0;1185.0;2.7;12.1;20.9;15.1;8.2;48.0;44.0;33.4;12.6;12.6;7.8;8.5;23-08-2024;;1020.0;165.0
119;Fêmea;80.0;1005.0;2.7;11.8;20.5;14.0;8.6;42.0;38.2;32.6;10.3;12.1;8.0;8.0;23-08-2024;;810.0;195.0
120;Macho;80.0;935.0;2.3;11.2;19.5;15.0;7.4;47.0;43.0;31.0;11.4;10.7;7.7;7.9;23-08-2024;;895.0;40.0
121;Fêmea;80.0;980.0;2.5;11.8;16.5;15.6;10.4;47.0;44.2;32.1;11.4;11.1;8.5;8.2;23-08-2024;;795.0;185.0
122;Fêmea;80.0;1105.0;2.1;11.0;15.0;16.0;7.0;37.0;44.0;33.0;10.0;12.0;7.0;8.0;23-08-2024;;770.0;335.0
124;;80.0;;2.3;12.1;13.2;16.4;7.2;41.0;41.6;31.0;11.4;12.0;6.8;6.8;23-08-2024;;1070.0;
125;Macho;80.0;1260.0;2.3;13.5;18.0;16.0;7.5;46.0;43.0;31.0;13.0;12.0;8.0;8.0;23-08-2024;;765.0;495.0
126;Macho;80.0;1000.0;3.0;12.5;14.0;14.0;8.0;42.0;37.0;32.5;11.8;10.0;8.0;6.0;23-08-2024;;825.0;175.0
127;Fêmea;80.0;1090.0;2.6;11.5;16.0;14.5;8.5;41.0;38.0;35.0;10.0;11.0;7.5;5.8;23-08-2024;;735.0;355.0
128;Fêmea;80.0;935.0;2.5;12.5;18.0;16.0;9.0;46.0;43.5;30.0;9.0;11.0;7.5;7.3;23-08-2024;;1005.0;-70.0
129;Macho;80.0;1170.0;2.1;12.9;13.4;13.2;6.7;41.7;36.1;34.2;11.3;12.8;7.0;7.1;23-08-2024;;1050.0;120.0
130;Macho;80.0;1210.0;2.0;11.0;16.0;16.0;7.0;43.0;42.0;34.0;13.5;14.0;7.0;8.5;23-08-2024;;675.0;535.0
131;Fêmea;80.0;770.0;2.7;12.5;15.5;15.5;7.0;41.0;35.0;32.5;11.0;11.0;8.0;5.5;23-08-2024;;1270.0;-500.0
132;Macho;80.0;1475.0;2.7;11.8;17.0;14.0;6.0;40.0;34.0;35.0;9.0;10.5;8.0;6.8;23-08-2024;;725.0;750.0
133;Fêmea;80.0;1020.0;2.1;12.2;13.4;13.8;7.6;44.9;39.7;32.7;10.7;12.1;6.5;6.4;23-08-2024;;980.0;40.0
134;Macho;80.0;1205.0;2.1;11.0;17.0;17.5;9.0;48.0;40.0;30.0;13.0;13.0;7.5;7.5;23-08-2024;;925.0;280.0
135;Macho;80.0;975.0;2.5;13.0;16.0;16.0;7.0;45.0;43.0;33.0;14.0;14.0;8.0;8.0;23-08-2024;;835.0;140.0
136;Macho;80.0;1055.0;2.5;11.7;17.0;17.0;8.0;43.0;48.0;33.0;13.0;12.5;8.0;8.8;23-08-2024;;1210.0;-155.0
137;Macho;80.0;1385.0;2.2;10.6;19.1;15.7;7.8;42.0;36.2;30.4;11.1;11.0;7.1;7.3;23-08-2024;;1090.0;295.0
138;Fêmea;80.0;1220.0;2.1;13.0;18.0;17.0;8.0;47.0;45.0;33.0;13.0;14.0;9.0;8.5;23-08-2024;;950.0;270.0
139;Macho;80.0;1215.0;2.1;12.0;16.0;14.0;7.0;;40.0;33.0;12.0;11.5;8.0;8.5;23-08-2024;;1210.0;5.0
140;Fêmea;80.0;1350.0;2.1;12.5;18.0;17.0;7.5;45.0;42.0;35.5;12.0;13.0;7.0;8.0;23-08-2024;;990.0;360.0
141;Fêmea;80.0;1190.0;2.5;12.9;22.4;15.1;6.9;52.0;41.7;40.1;12.1;13.0;7.9;8.9;23-08-2024;;1190.0;0.0
142;Macho;80.0;1350.0;2.0;11.0;17.0;15.5;8.0;43.0;46.0;30.0;11.0;12.0;7.0;8.1;23-08-2024;;675.0;675.0
144;Macho;80.0;865.0;2.54;11.0;15.0;16.0;8.0;44.0;40.0;37.0;11.0;13.0;7.5;8.1;23-08-2024;;1105.0;-240.0
145;Macho;80.0;1120.0;2.4;13.0;21.8;17.1;8.1;42.7;36.7;34.2;11.5;13.6;7.5;8.3;23-08-2024;;915.0;205.0
146;Fêmea;80.0;1105.0;2.7;11.8;16.0;14.7;7.0;40.0;35.0;30.5;10.0;9.0;7.6;5.3;23-08-2024;;975.0;130.0
147;Fêmea;80.0;1435.0;2.4;11.5;19.0;16.0;7.0;46.0;41.5;34.0;12.0;12.5;7.0;8.0;23-08-2024;;1195.0;240.0
148;Macho;80.0;990.0;2.2;11.9;11.1;14.2;7.1;39.0;39.3;29.6;10.1;10.5;6.0;5.5;23-08-2024;;750.0;240.0
149;Fêmea;80.0;1335.0;2.5;12.0;16.0;16.0;7.5;49.0;43.0;30.0;11.0;13.0;7.0;8.0;23-08-2024;;1130.0;205.0
