ANIMAL;SEXO;IDADE;PESO;BICO;CIRCFCABECA;PESCOCO;ASA;TULIPA;DORSO;VENTRE;CIRCFABDOM;SOBRECOXA;COXA;CANELA;UNHAMAIOR;DATA_MEDICAO;DEDOMAIOR;PESO_ANTERIOR;GANHO_PESO
1;Macho;0.0;32.0;1.4;7.1;5.4;3.1;1.5;13.1;11.9;9.5;3.5;2.4;2.2;2.2;04-06-24;;;
2;Fêmea;0.0;39.0;0.9;6.5;5.3;2.5;2.1;11.5;11.7;8.1;2.7;3.0;2.5;2.5;04-06-24;;;
3;Macho;0.0;29.0;1.0;6.8;4.7;2.5;1.7;13.1;11.2;7.3;2.8;3.3;2.4;2.0;04-06-24;;;
4;Macho;0.0;33.0;1.1;5.9;2.7;2.8;1.6;11.8;10.2;7.5;3.2;3.0;2.1;2.2;04-06-24;;;
5;Fêmea;0.0;33.0;1.2;6.5;2.7;2.5;1.2;12.5;12.3;9.4;3.2;3.1;2.3;2.0;04-06-24;;;
6;Fêmea;0.0;37.0;1.2;6.5;5.7;3.3;1.3;12.9;12.7;9.0;3.0;3.8;2.4;2.3;04-06-24;;;
7;Fêmea;0.0;25.0;0.9;5.7;2.9;3.6;1.1;12.5;10.5;7.1;2.7;2.4;2.2;1.6;04-06-24;;;
8;Macho;0.0;36.0;1.6;7.8;3.7;2.9;2.0;13.4;11.9;8.9;3.0;2.3;1.8;2.4;04-06-24;;;
9;Macho;0.0;29.0;1.1;7.7;3.6;2.8;2.3;12.2;12.1;10.9;3.5;2.6;2.2;2.1;04-06-24;;;
10;Fêmea;0.0;33.0;0.9;7.0;4.5;3.5;1.7;13.2;11.9;9.1;2.3;3.4;2.5;2.9;04-06-24;;;
11;Macho;0.0;31.0;0.7;7.7;4.8;3.1;1.8;12.7;13.4;8.3;3.0;3.3;1.8;2.6;04-06-24;;;
12;Macho;0.0;33.0;1.2;6.3;4.3;2.4;1.3;13.5;11.2;9.0;3.3;3.0;2.0;2.1;04-06-24;;;
13;Macho;0.0;29.0;1.0;7.6;4.4;4.3;2.1;12.9;13.0;7.0;3.1;2.6;2.2;2.1;04-06-24;;;
14;Macho;0.0;27.0;0.7;6.2;5.3;3.3;1.4;9.8;9.9;7.9;2.7;2.3;1.7;1.1;04-06-24;;;
15;Macho;0.0;35.0;0.9;6.0;4.8;3.2;1.3;13.2;11.9;8.8;3.0;3.8;2.3;2.0;04-06-24;;;
16;Macho;0.0;36.0;1.2;6.3;3.7;2.1;1.3;12.5;11.8;7.6;2.1;2.5;1.9;1.7;04-06-24;;;
17;Fêmea;0.0;27.0;0.7;5.9;3.4;3.5;1.3;11.6;11.2;7.8;2.6;3.1;2.3;2.1;04-06-24;;;
18;Fêmea;0.0;32.0;1.0;6.2;4.9;3.3;2.0;13.2;10.9;9.8;2.9;2.7;2.2;2.8;04-06-24;;;
